经济性得分,车贷占收入比,房贷占收入比,电池技术性能得分,个人年收入,家庭成员数,最高学历,品牌类型,动力性表现得分,舒适性得分,家庭可支配收入,家庭年收入,安全性表现得分,出生年,单位性质,工作年限,驾龄,配置与质量品质得分,居住时间,驾驶操控性表现得分,外观内饰得分,婚姻类型,居住区域类型,职位类型,户口类型,子女数,购买意愿
88.91893392,25,25,88.92278981,7,5,6,1,88.86999791,90.17984809,7,25,88.87519312,1987,3,11,4,88.87254642,12,88.88277078,90.98150904,6,2,4,2,1,0.0 
73.9041436,30,15,93.52532705,11,5,6,1,90.64527653,90.94126646,7,23,88.87519312,1991,6,6,5,96.65259912,29,94.16996236,95.6026553,6,1,5,2,1,0.0 
62.93884815,0,0,75.53489684,15,4,5,1,66.65499787,81.09094276,10,35,77.76704377,1979,1,21,20,77.76472787,15,74.69847916,77.77433233,5,1,3,1,2,0.0 
81.55817068,25,18,81.3020039,14,4,6,1,71.67059668,90.58517847,8,34,78.66252487,1997,7,1,2,85.19548542,8,69.73977306,73.2621773,4,2,9,1,0,0.0 
85.31102379,20,10,89.78909713,20,3,6,1,93.88559672,89.5674782,13,30,92.13879294,1988,3,9,8,84.76955472,15,88.55428531,88.88352277,5,1,4,2,1,0.0 
88.91893392,0,18,86.3511297,19,4,6,1,88.86999791,86.89237296,32,48,88.87519312,1985,4,13,10,84.76955472,35,88.88277078,86.60347392,5,2,2,2,2,0.0 
88.91893392,20,25,90.77128148,16,5,6,1,91.9460638,88.91681971,14,45,88.87519312,1986,3,11,5,88.87254642,14,88.88277078,88.88352277,6,2,4,2,1,0.0 
74.05246448,5,12,78.05160912,7,3,5,1,71.50634238,68.3584743,7,11,70.34436303,1985,1,12,10,74.43696203,35,72.48648275,71.0551998,5,3,2,2,1,0.0 
73.9041436,0,15,95.04829439,8,5,6,1,88.86999791,90.94126646,14,10,93.03427403,1989,5,7,6,95.87737327,31,94.16996236,91.16357162,6,1,2,2,1,0.0 
99.0325502,35,0,99.0368881,12,3,5,1,99.97749794,99.0301718,12,33,99.98334246,1983,4,14,10,99.98036497,36,99.99186723,99.9927132,5,1,6,2,1,0.0 
66.69170125,0,40,68.54308495,10,2,5,1,66.65499787,69.11989267,10,15,66.65889442,1990,2,5,3,66.65690932,5,69.41128758,66.66514189,3,1,2,2,0,0.0 
85.16608081,0,0,83.93419612,13,3,5,1,85.79393203,81.45836097,8,22,84.7161122,1992,5,3,8,81.09249372,13,83.06086591,84.44443909,5,2,5,1,1,0.0 
99.0325502,15,20,99.0368881,20,3,6,1,99.97749794,99.0301718,13,30,99.98334246,1990,1,6,5,99.98036497,15,99.99186723,99.9927132,5,1,3,2,1,0.0 
74.05246448,10,10,77.80869155,60,3,6,1,77.76249789,77.80346762,45,70,71.23984413,1984,7,11,10,77.76472787,11,77.77367433,75.67634606,5,2,9,2,1,0.0 
74.05246448,20,30,75.96019988,12,5,8,1,54.24394185,74.24485392,7,14,85.13798099,1986,3,10,5,74.43696203,32,69.73977306,80.0053554,6,1,6,1,1,0.0 
48.21069634,10,50,64.4484575,10,3,4,1,72.74689909,65.52336679,7,15,66.65889442,1975,4,21,5,69.90803963,12,63.58938271,71.04317701,5,1,2,2,1,0.0 
81.41322771,20,0,78.7908759,14,2,6,1,71.13587477,75.59206024,12,24,92.56066173,1990,2,8,1,74.43696203,30,75.56167793,84.4324163,3,2,3,1,0,0.0 
85.16608081,25,0,79.90010079,12,3,5,1,79.45202431,82.07073087,10,23,85.1897245,1995,6,1,2,88.87254642,25,80.52038403,75.6152975,2,3,5,2,0,0.0 
74.05246448,0,25,75.77781441,10,5,6,1,74.68643201,72.08621536,13,14,73.60796285,1987,2,12,5,70.33397033,22,71.95176946,75.67634606,6,1,6,2,1,0.0 
52.10849241,25,10,56.50972932,14,3,5,1,53.20673609,48.60406983,10,26,57.91512025,1989,4,8,5,56.32132134,20,41.56989073,51.23388622,5,1,3,1,1,0.0 
66.69170125,10,20,71.86557243,30,5,5,1,72.97138394,71.51175763,30,50,74.08157516,1985,4,12,6,66.65690932,12,69.41128758,66.66514189,6,1,9,1,1,0.0 
59.33093802,0,10,63.20128093,11,5,8,1,63.63916254,73.38715591,28,49,66.65889442,1975,3,17,21,63.32914348,15,72.48648275,66.66514189,6,2,3,1,1,0.0 
81.55817068,5,10,82.4717609,10,3,6,1,85.62967773,83.52071989,10,15,81.45251238,1982,6,15,10,85.54478058,35,86.13606108,79.8723186,5,2,2,2,2,0.0 
62.93884815,0,0,62.93541403,12,4,6,1,47.98215523,76.54043924,7,20,79.08439366,1987,2,11,11,77.76472787,6,74.69847916,77.77433233,6,1,2,1,1,0.0 
85.16608081,0,0,79.11640023,12,2,6,1,87.09471929,85.15116648,14,20,81.45251238,1984,5,13,5,81.09249372,36,83.5955792,86.53040257,3,1,4,2,0,0.0 
92.67178702,30,20,95.43435083,12,3,8,1,95.12615343,99.0301718,7,20,99.98334246,1990,4,4,8,92.54960742,29,99.99186723,99.9927132,5,1,2,2,1,0.0 
62.93884815,28,20,68.54308495,10,3,6,1,49.28571123,75.3736905,10,25,71.71345644,1985,4,11,4,55.11946702,11,55.55548143,70.91014021,5,1,7,2,1,0.0 
73.9041436,30,20,91.49444992,11,5,6,1,88.86999791,93.94550132,6,23,96.71974265,1989,6,7,6,92.54960742,31,88.55428531,91.16357162,6,2,4,2,1,0.0 
85.16608081,16,14,77.80869155,36,3,5,1,80.77833322,80.19533259,30,39,81.03064359,1981,4,15,15,85.19548542,39,77.77367433,82.15236745,5,1,1,2,1,0.0 
66.69170125,0,30,78.91791644,12,5,4,1,79.53777651,78.56488599,15,30,77.76704377,1984,4,14,14,81.44178887,36,80.84886951,80.05438118,6,1,4,2,1,0.0 
85.16608081,5,35,79.83956868,12,4,6,1,77.92675219,86.89237296,15,36,81.03064359,1982,7,15,6,82.21701473,15,77.77367433,84.44443909,5,3,9,1,2,0.0 
77.80531758,6,15,79.65718321,12,5,4,1,82.55361184,88.91681971,26,30,81.03064359,1981,6,15,14,88.87254642,15,88.88277078,82.15236745,6,2,4,2,1,0.0 
99.0325502,0,15,99.0368881,12,3,5,1,99.97749794,99.0301718,19,35,99.98334246,1960,4,38,30,99.98036497,60,99.99186723,99.9927132,5,1,1,2,1,0.0 
74.05246448,0,0,87.09039647,20,3,6,1,86.01841688,87.38265275,20,40,92.56066173,1990,5,7,3,89.22184158,20,86.13606108,93.14054387,2,1,2,1,0,0.0 
81.55817068,0,0,78.54795832,13,4,5,2,82.30360534,77.80346762,10,29,81.03064359,1987,6,9,8,81.09249372,15,83.5955792,80.06640397,6,3,3,2,1,0.0 
63.08379112,0,30,81.36253601,7,5,6,2,80.94258752,79.91209232,7,13,74.02983164,1987,3,10,5,71.53512688,33,80.52038403,70.86111443,6,1,5,2,1,0.0 
77.80531758,0,0,77.80869155,13,5,5,2,77.76249789,77.80346762,26,29,77.76704377,1986,3,11,8,77.76472787,14,77.77367433,77.77433233,6,3,2,2,1,0.0 
62.93884815,0,15,65.17162595,5,5,6,2,63.57893199,64.94890906,7,12,73.60796285,1991,2,6,3,59.22615178,29,69.73977306,71.10422558,6,1,4,1,1,0.0 
70.44455435,0,15,70.24843774,14,5,5,2,69.73106376,64.66566879,27,14,70.34436303,1986,4,10,8,66.65690932,15,69.41128758,66.66514189,6,2,8,2,1,0.0 
55.57808492,25,0,66.1538103,10,2,6,2,67.95578514,67.37868619,10,18,71.23984413,1987,4,8,6,62.55391762,32,60.84267301,64.49408428,3,1,4,2,0,0.0 
70.44455435,0,0,75.96019988,50,4,8,2,72.74689909,77.04204926,45,60,77.76704377,1980,6,15,12,73.66173617,20,71.95176946,73.20221184,5,2,3,1,2,0.0 
81.55817068,0,0,81.36253601,15,4,6,2,81.00281808,80.23324475,13,29,77.76704377,1984,5,11,10,81.86771957,36,86.13606108,82.16439024,5,2,2,2,2,0.0 
74.05246448,0,15,82.41122879,12,3,6,2,72.91115339,73.53620438,15,20,88.87519312,1988,4,10,1,81.86771957,20,74.69847916,79.86029581,5,2,2,1,1,0.0 
66.69170125,0,0,74.25484708,10,3,4,2,77.76249789,77.04204926,15,20,77.76704377,1980,4,15,10,81.09249372,10,80.84886951,77.76230954,5,1,1,1,1,0.0 
85.16608081,0,0,88.53673336,14,5,5,2,87.7936955,83.92605026,26,29,92.56066173,1987,6,10,8,84.76955472,14,77.77367433,88.87149998,6,2,6,2,1,1.0 
74.05246448,25,30,83.52045368,8,5,6,2,79.22753946,79.06649601,6,20,81.92612469,1984,6,10,7,81.09249372,10,74.69847916,84.31140228,6,2,4,2,1,0.0 
77.80531758,0,0,79.83956868,20,3,6,2,77.76249789,88.91681971,20,27,88.87519312,1985,3,13,6,77.76472787,35,86.13606108,88.88352277,5,2,2,2,1,0.0 
74.05246448,0,0,81.68806034,5,3,5,2,71.50634238,85.62934458,16,20,70.39610654,1985,6,11,14,77.76472787,8,80.84886951,77.77433233,5,2,6,1,1,0.0 
85.16608081,33,18,93.9113835,8,3,5,2,88.64551306,88.36244086,7,20,88.87519312,1979,4,17,18,91.77438157,25,91.62948048,93.27358067,5,1,2,2,1,0.0 
77.80531758,10,30,73.38853977,15,2,5,2,69.6708332,71.10642725,18,20,66.65889442,1975,3,20,15,70.33397033,45,69.41128758,73.33524865,3,4,4,2,0,0.0 
70.44455435,10,40,76.69946665,15,3,6,2,77.76249789,77.80346762,8,20,77.76704377,1991,3,7,6,73.66173617,5,77.77367433,77.77433233,5,1,2,1,1,0.0 
81.55817068,0,0,82.4717609,20,3,4,2,80.83856378,82.2576915,27,38,85.1897245,1984,4,14,3,81.86771957,36,77.77367433,86.7855365,5,1,2,2,1,1.0 
70.44455435,0,0,72.22396995,24,2,6,2,71.28185752,77.43604941,16,30,71.23984413,1990,5,8,10,74.43696203,30,77.77367433,73.38427443,3,1,2,2,0,0.0 
77.80531758,0,0,70.57396208,16,4,6,2,75.98721927,74.11066211,25,36,74.50344395,1986,6,10,6,70.33397033,34,80.52038403,73.33524865,6,2,2,2,1,0.0 
81.41322771,0,12,77.48316721,14,5,6,2,76.04744983,83.23747961,26,30,78.66252487,1986,4,10,9,74.43696203,13,78.30838762,75.62732028,6,2,3,2,1,0.0 
77.80531758,5,10,69.8346953,35,3,6,2,74.52217771,77.32528953,36,40,70.81797534,1987,3,10,6,76.98950202,11,75.02696464,82.34645282,5,1,2,2,1,0.0 
74.19740745,10,10,78.37713346,50,3,6,2,84.01865341,81.09094276,45,60,74.92531274,1988,7,8,11,78.88924889,12,83.06086591,73.15318607,2,2,9,2,0,0.0 
77.80531758,0,0,83.93419612,16,4,5,2,84.01865341,81.09094276,18,22,85.6115933,1986,5,11,8,85.54478058,20,83.06086591,84.31140228,6,2,6,2,1,0.0 
81.55817068,0,0,82.79728523,8,3,4,2,82.7780967,82.07073087,12,14,78.18891256,1992,4,7,4,85.54478058,20,83.5955792,79.86029581,5,1,8,2,1,0.0 
77.80531758,0,0,74.12780654,13,4,5,2,84.01865341,80.80770249,25,28,77.76704377,1986,4,11,8,73.66173617,16,86.13606108,75.48226069,6,3,4,2,1,0.0 
77.80531758,35,20,80.94879357,8,3,4,2,77.76249789,83.8881381,6,20,85.6115933,1984,3,10,6,81.44178887,35,83.5955792,84.31140228,5,1,2,2,1,0.0 
81.55817068,0,0,84.32025257,9,3,5,2,75.92698872,84.64955647,12,15,78.66252487,1989,4,8,3,77.41543272,15,83.5955792,79.93336716,5,1,8,2,1,0.0 
81.55817068,0,30,82.41122879,10,2,6,2,84.01865341,83.23747961,13,18,84.7161122,1990,4,9,5,77.33879717,27,83.06086591,79.88434139,3,1,5,1,0,0.0 
88.91893392,0,0,90.38522503,18,2,6,2,88.86999791,88.91681971,20,23,92.13879294,1990,6,5,6,88.87254642,28,94.70467565,91.1755944,3,1,4,2,0,1.0 
51.82185391,0,0,70.37547828,6,6,6,2,76.15147357,71.7949979,10,18,74.92531274,1979,4,20,20,81.51842442,40,77.77367433,79.86029581,6,1,4,2,2,0.0 
74.19740745,20,30,81.73249413,9,5,5,2,79.76226137,80.23324475,9,15,81.45251238,1983,6,15,15,81.01585818,38,86.67077438,82.14034466,6,1,5,2,1,0.0 
66.69170125,10,20,77.80869155,8,3,4,2,71.67059668,73.53620438,10,16,77.76704377,1995,7,3,5,74.43696203,25,69.73977306,77.77433233,2,1,9,2,0,0.0 
74.05246448,0,0,84.25972045,8,3,6,2,82.7780967,86.0817122,14,20,89.77067421,1994,6,4,1,85.19548542,26,83.38935139,84.2993795,2,2,8,2,0,0.0 
88.91893392,10,30,88.92278981,15,4,5,2,87.09471929,82.66302188,9,20,81.45251238,1985,3,15,15,85.54478058,35,83.06086591,80.06640397,6,1,4,2,2,0.0 
59.33093802,20,20,73.92932275,13,3,6,2,69.89531806,70.86109914,12,26,66.65889442,1989,4,8,8,74.43696203,30,77.77367433,64.56715562,5,2,2,2,1,0.0 
66.69170125,25,20,74.85097499,8,5,6,2,79.1673089,79.69372257,9,22,81.92612469,1982,6,15,5,70.33397033,13,69.41128758,59.91990072,6,2,6,2,1,0.0 
40.70161223,30,20,64.64076682,8,5,4,2,69.8350875,59.99307516,7,20,62.97342581,1990,6,7,7,62.97984832,12,55.55548143,60.12807194,6,2,4,2,1,0.0 
81.55817068,10,10,82.79728523,55,3,6,2,81.00281808,79.47182639,50,60,84.7161122,1989,7,7,9,78.11402303,7,83.06086591,7.88434139,2,2,9,1,0,0.0 
77.80531758,10,10,72.22396995,50,4,6,2,74.74666256,75.77902087,40,60,69.92249424,1989,7,8,9,73.66173617,12,69.41128758,71.23726238,2,2,9,2,0,0.0 
74.05246448,10,25,81.68806034,40,4,8,2,79.53777651,79.86582654,35,50,77.76704377,1982,1,16,10,81.86771957,23,77.77367433,80.05438118,4,1,2,2,0,0.0 
88.91893392,20,0,96.15751928,11,3,6,2,93.72134242,94.31291954,20,30,96.29787385,1992,7,5,6,95.87737327,28,94.70467565,93.45564325,2,2,9,2,0,0.0 
66.69170125,13,0,72.40635542,15,3,5,2,77.98698275,51.04516559,18,25,77.76704377,1990,4,7,2,73.66173617,30,75.02696464,73.33524865,5,2,8,2,1,0.0 
81.55817068,0,0,82.41122879,8,2,6,2,84.01865341,83.52071989,11,13,78.66252487,1991,3,7,4,76.98950202,20,86.13606108,79.93336716,3,1,5,1,0,0.0 
66.83664422,0,10,80.62326923,5,3,5,2,76.27193468,72.16241612,9,12,67.13250673,1988,3,9,6,63.32914348,32,66.99306336,73.51731123,5,2,5,2,1,0.0 
81.41322771,0,25,77.0855231,9,2,5,2,72.74689909,81.97445123,10,15,81.45251238,1989,4,9,4,84.76955472,25,80.31415621,77.90736913,3,1,8,1,0,0.0 
70.44455435,10,10,75.96019988,10,2,5,2,61.63939907,66.69011554,11,15,69.92249424,1980,3,16,20,62.55391762,40,66.66457788,68.76312816,3,2,4,2,0,0.0 
85.16608081,0,30,80.57883545,15,2,6,2,80.83856378,84.09517762,10,20,84.7161122,1992,8,5,6,77.76472787,7,77.77367433,80.05438118,3,2,10,2,0,0.0 
81.55817068,10,20,79.65718321,7,3,4,2,79.53777651,83.23747961,8,16,85.1897245,1985,5,14,12,77.76472787,15,86.13606108,84.44443909,5,1,6,2,1,0.0 
77.80531758,10,20,75.23703143,15,2,4,2,71.50634238,75.41160266,11,20,74.50344395,1985,3,12,15,69.98467517,35,77.77367433,77.77433233,3,2,6,2,0,0.0 
77.80531758,20,18,79.83956868,9,3,6,2,73.4458753,86.52495475,11,24,88.87519312,1980,3,17,8,77.76472787,15,80.84886951,93.50466903,5,1,4,2,1,0.0 
63.08379112,0,0,70.63449419,20,3,5,2,61.63939907,70.06176861,20,40,59.70982599,1988,4,8,8,63.32914348,32,64.45258148,66.7981787,5,1,4,2,1,0.0 
66.83664422,0,0,68.54308495,20,2,5,2,66.49074357,63.68588068,25,40,66.65889442,1986,7,13,12,62.90321278,34,72.48648275,68.94519074,3,1,9,2,0,0.0 
81.55817068,0,12,74.12780654,15,4,4,2,69.73106376,78.208798,27,17,77.76704377,1988,6,8,7,70.33397033,18,77.77367433,73.33524865,6,2,4,2,1,0.0 
59.18261714,27,0,74.48001847,10,4,4,2,77.76249789,77.80346762,10,15,77.76704377,1982,4,16,15,77.76472787,6,77.77367433,86.53040257,5,5,6,3,2,0.0 
81.41322771,15,40,76.88185212,15,3,5,2,75.82296497,80.60066297,15,17,74.50344395,1985,5,15,5,77.76472787,35,78.6368731,75.43323492,2,1,6,2,0,0.0 
77.80531758,0,0,79.83956868,12,3,6,2,71.67059668,73.53620438,7,19,74.08157516,1980,2,16,15,70.75990103,40,69.73977306,75.48226069,5,2,4,2,1,0.0 
99.0325502,20,20,99.0368881,9,3,4,2,99.97749794,99.0301718,11,24,99.98334246,1980,4,18,15,95.87737327,40,99.99186723,95.6026553,5,1,2,2,1,0.0 
81.55817068,5,10,82.4717609,14,3,6,2,80.83856378,77.04204926,16,20,81.03064359,1992,5,7,6,81.86771957,9,83.5955792,82.34645282,5,2,4,1,1,0.0 
88.91893392,33,20,89.10517527,18,3,4,2,88.86999791,88.91681971,13,40,92.13879294,1985,3,15,5,88.87254642,6,88.88277078,91.16357162,5,1,3,2,1,0.0 
99.0325502,25,18,88.92278981,15,4,6,2,91.9460638,93.33313142,17,40,99.98334246,1985,4,13,10,92.97553812,35,94.16996236,88.88352277,5,1,2,2,2,0.0 
77.80531758,0,0,76.69946665,12,5,5,2,77.76249789,77.80346762,21,28,77.76704377,1987,4,10,7,77.76472787,17,77.77367433,77.77433233,6,2,6,2,1,0.0 
85.16608081,10,10,82.22884332,25,3,5,2,81.00281808,81.09094276,26,30,81.45251238,1989,7,7,8,78.11402303,15,77.77367433,80.05438118,5,2,9,2,1,0.0 
66.54338037,0,0,78.34947453,8,3,6,2,65.18995631,60.17619488,10,16,78.18891256,1999,4,1,1,77.68809233,11,77.77367433,68.94519074,5,3,5,1,1,0.0 
77.80531758,0,0,77.80869155,12,4,5,2,77.76249789,78.37792536,12,18,81.03064359,1983,4,15,5,77.76472787,12,86.13606108,77.77433233,5,1,2,1,2,0.0 
62.93884815,0,0,72.09692941,16,5,6,2,56.01922047,66.07774564,30,36,70.81797534,1991,6,6,6,59.22615178,28,75.35545011,66.71416767,6,1,8,2,1,0.0 
62.93884815,20,30,82.41122879,15,3,5,2,58.78781804,67.7461044,18,30,63.3952946,1981,4,17,18,70.75990103,15,71.95176946,73.20221184,5,1,2,1,1,0.0 
81.41322771,0,0,83.52045368,12,5,6,2,79.53777651,80.80770249,20,32,82.34799348,1991,5,7,6,81.09249372,28,88.88277078,90.98150904,6,1,6,2,1,0.0 
70.44455435,6,16,73.53167864,20,6,6,2,72.74689909,79.06649601,23,28,74.08157516,1989,4,7,7,67.43213518,31,77.77367433,73.33524865,6,1,3,2,2,0.0 
59.33093802,15,15,73.14562219,15,6,4,2,69.6708332,69.11989267,16,20,74.08157516,1989,6,10,8,63.32914348,10,66.33609241,68.76312816,6,2,2,2,2,0.0 
81.55817068,0,20,75.83834653,6,5,5,2,77.76249789,85.66725674,9,12,77.76704377,1986,3,11,4,78.11402303,20,78.30838762,77.72530655,6,2,4,1,1,0.0 
55.57808492,0,0,75.77781441,10,3,6,2,69.89531806,74.44314478,13,18,74.08157516,1980,4,15,10,70.33397033,15,72.48648275,82.15236745,5,2,2,2,1,0.0 
81.55817068,1,3,82.79728523,10,3,6,2,83.85439911,87.65379133,20,25,85.6115933,1994,4,5,6,84.76955472,26,83.06086591,84.44443909,2,1,5,2,0,0.0 
59.33093802,0,0,66.69459328,8,3,6,2,60.3386118,62.96237447,15,18,67.08076321,1992,1,4,1,73.66173617,28,66.66457788,73.38427443,5,3,5,2,1,0.0 
77.80531758,0,10,77.80869155,13,4,6,2,77.76249789,77.80346762,27,30,77.76704377,1987,4,10,7,77.76472787,13,77.77367433,77.77433233,6,2,3,2,1,0.0 
74.05246448,8,23,79.65718321,9,3,4,2,77.76249789,74.79923276,10,17,77.76704377,1988,7,8,8,70.75990103,32,72.48648275,75.67634606,5,2,9,2,1,0.0 
74.19740745,10,20,73.14562219,14,1,6,2,72.74689909,69.11989267,10,18,77.76704377,1985,3,10,10,62.90321278,20,77.77367433,75.6152975,1,3,7,1,0,0.0 
59.18261714,5,20,71.35766264,12,5,4,2,63.57893199,67.09544592,20,25,77.76704377,1986,5,11,8,77.76472787,33,74.69847916,66.66514189,6,1,2,2,1,0.0 
59.33093802,0,0,72.40635542,20,3,6,2,68.12003944,73.96161364,21,28,62.97342581,1990,3,8,10,44.86089795,30,63.91786819,51.1619421,2,1,4,2,0,0.0 
77.80531758,0,0,81.36253601,12,4,5,2,85.85416258,91.30868468,10,20,88.87519312,1990,6,8,9,88.87254642,10,85.80757561,91.1755944,4,1,7,2,0,0.0 
74.05246448,10,40,69.8346953,12,4,6,2,60.39884236,67.54781354,8,24,66.65889442,1987,4,10,13,69.98467517,33,72.48648275,73.27420009,5,1,3,2,2,0.0 
88.91893392,10,35,87.21743701,20,6,6,2,85.79393203,89.52918961,10,25,81.92612469,1985,3,12,15,85.54478058,20,83.5955792,79.8723186,6,1,2,1,1,0.0 
77.80531758,0,0,88.92278981,12,3,6,2,84.07888396,81.49627314,17,22,85.6115933,1983,4,14,8,81.44178887,21,77.77367433,84.50548765,5,2,2,1,1,0.0 
74.05246448,10,40,73.2061543,15,3,6,2,80.94258752,74.7613206,10,20,81.03064359,1989,4,9,8,76.98950202,8,78.10215981,71.10422558,5,2,8,1,1,0.0 
81.55817068,0,0,77.80869155,13,5,6,2,80.83856378,77.80346762,22,30,88.87519312,1982,5,13,5,81.09249372,38,83.5955792,77.77433233,6,2,4,2,1,0.0 
55.42976404,9,11,89.97148259,24,5,6,2,48.91650808,63.63311185,24,32,59.70982599,1985,4,12,10,69.55874447,35,58.30219113,88.73846318,6,1,1,2,1,0.0 
74.05246448,0,0,77.80869155,18,3,6,2,77.76249789,77.80346762,31,36,77.76704377,1989,5,7,5,74.43696203,25,77.77367433,77.77433233,5,1,2,1,1,0.0 
77.80531758,0,0,74.25484708,30,2,6,2,72.91115339,74.51599249,35,40,74.50344395,1985,5,11,15,73.66173617,35,75.56167793,77.58024696,3,1,2,2,0,0.0 
74.05246448,0,0,78.73553097,25,2,6,2,72.91115339,79.82791437,25,30,74.08157516,1985,3,13,12,74.43696203,35,69.20505977,64.51812985,3,1,2,2,0,0.0 
85.16608081,0,18,88.92278981,13,6,6,2,85.85416258,88.91681971,20,34,88.87519312,1989,4,9,5,85.54478058,31,83.06086591,86.7855365,6,1,2,2,2,0.0 
81.55817068,0,0,83.93419612,12,3,6,2,79.70203081,81.36208133,27,40,78.66252487,1981,6,14,5,85.54478058,30,83.5955792,77.78635512,5,2,4,1,1,0.0 
81.55817068,10,10,78.91791644,60,3,5,2,71.44611182,77.80346762,50,65,81.45251238,1988,7,6,10,77.76472787,11,74.69847916,80.06640397,2,2,9,2,0,0.0 
66.69170125,0,0,63.9405477,15,2,5,2,72.80712964,68.83665239,20,40,70.34436303,1987,5,13,10,70.33397033,33,75.56167793,68.76312816,3,1,4,2,0,0.0 
70.44455435,6,14,86.89191268,12,4,6,2,83.85439911,81.49627314,36,40,81.03064359,1987,4,10,4,85.54478058,10,83.06086591,84.49346486,5,3,7,1,1,1.0 
70.44455435,0,0,77.80869155,45,3,6,2,74.52217771,76.54043924,46,50,74.50344395,1980,3,16,11,73.66173617,40,66.33609241,73.38427443,5,1,2,2,1,0.0 
81.55817068,10,20,87.81356492,5,5,5,2,82.6138424,84.64955647,9,10,81.92612469,1987,4,9,4,85.54478058,33,86.13606108,82.16439024,6,2,6,2,1,0.0 
74.05246448,0,0,80.56273712,10,3,6,2,72.91115339,77.80346762,16,18,88.87519312,1984,4,12,1,85.19548542,10,80.52038403,82.21341601,5,2,2,1,1,0.0 
