目标客户编号,品牌类型,电池技术性能得分,舒适性得分,经济性得分,安全性表现得分,动力性表现得分,驾驶操控性表现得分,外观内饰得分,配置与质量品质得分,户口类型,居住时间,居住区域类型,驾龄,家庭成员数,婚姻类型,子女数,出生年,最高学历,工作年限,单位性质,职位类型,家庭年收入,个人年收入,家庭可支配收入,房贷占收入比,车贷占收入比,购买意愿
37,1,77.80869155,77.80346762,74.05246448,71.23984413,77.76249789,77.77367433,75.67634606,77.76472787,2,11,2,10,3,5,1,1984,6,11,7,9,70,60,45,10,10,0
38,1,75.96019988,74.24485392,74.05246448,85.13798099,54.24394185,69.73977306,80.0053554,74.43696203,1,32,1,5,5,6,1,1986,8,10,3,6,14,12,7,30,20,0
39,1,64.4484575,65.52336679,48.21069634,66.65889442,72.74689909,63.58938271,71.04317701,69.90803963,2,12,1,5,3,5,1,1975,4,21,4,2,15,10,7,50,10,0
40,1,78.7908759,75.59206024,81.41322771,92.56066173,71.13587477,75.56167793,84.4324163,74.43696203,1,30,2,1,2,3,,1990,6,8,2,3,24,14,12,0,20,0
41,1,79.90010079,82.07073087,85.16608081,85.1897245,79.45202431,80.52038403,75.6152975,88.87254642,2,25,3,2,3,2,,1995,5,1,6,5,23,12,10,0,25,0
42,1,75.77781441,72.08621536,74.05246448,73.60796285,74.68643201,71.95176946,75.67634606,70.33397033,2,22,1,5,5,6,1,1987,6,12,2,6,14,10,13,25,0,0
43,1,56.50972932,48.60406983,52.10849241,57.91512025,53.20673609,41.56989073,51.23388622,56.32132134,1,20,1,5,3,5,1,1989,5,8,4,3,26,14,10,10,25,0
44,1,71.86557243,71.51175763,66.69170125,74.08157516,72.97138394,69.41128758,66.66514189,66.65690932,1,12,1,6,5,6,1,1985,5,12,4,9,50,30,30,20,10,0
45,1,81.48957655,81.97445123,85.16608081,81.45251238,81.00281808,83.5955792,84.44443909,73.66173617,2,48,1,15,3,1,1,1971,5,25,4,9,60,50,40,0,0,1
46,1,63.20128093,73.38715591,59.33093802,66.65889442,63.63916254,72.48648275,66.66514189,63.32914348,1,15,2,21,5,6,1,1975,8,17,3,3,49,11,28,10,0,0
47,1,82.4717609,83.52071989,81.55817068,81.45251238,85.62967773,86.13606108,79.8723186,85.54478058,2,35,2,10,3,5,2,1982,6,15,6,2,15,10,10,10,5,0
48,1,75.96019988,81.45836097,81.55817068,85.6115933,69.89531806,83.06086591,75.67634606,66.65690932,2,29,1,9,3,2,,1991,6,7,5,4,10,18,19,0,0,0
49,1,62.93541403,76.54043924,62.93884815,79.08439366,47.98215523,74.69847916,77.77433233,77.76472787,1,6,1,11,4,6,1,1987,6,11,2,2,20,12,7,0,0,0
50,1,79.11640023,85.15116648,85.16608081,81.45251238,87.09471929,83.5955792,86.53040257,81.09249372,2,36,1,5,2,3,,1984,6,13,5,4,20,12,14,0,0,0
51,1,95.43435083,99.0301718,92.67178702,99.98334246,95.12615343,99.99186723,99.9927132,92.54960742,2,29,1,8,3,5,1,1990,8,4,4,2,20,12,7,20,30,0
52,1,68.54308495,75.3736905,62.93884815,71.71345644,49.28571123,55.55548143,70.91014021,55.11946702,2,11,1,4,3,5,1,1985,6,11,4,7,25,10,10,20,28,0
53,1,91.49444992,93.94550132,73.9041436,96.71974265,88.86999791,88.55428531,91.16357162,92.54960742,2,31,2,6,5,6,1,1989,6,7,6,4,23,11,6,20,30,0
54,1,77.80869155,80.19533259,85.16608081,81.03064359,80.77833322,77.77367433,82.15236745,85.19548542,2,39,1,15,3,5,1,1981,5,15,4,1,39,36,30,14,16,0
55,1,78.91791644,78.56488599,66.69170125,77.76704377,79.53777651,80.84886951,80.05438118,81.44178887,2,36,1,14,5,6,1,1984,4,14,4,4,30,12,15,30,0,0
56,1,79.83956868,86.89237296,85.16608081,81.03064359,77.92675219,77.77367433,84.44443909,82.21701473,1,15,3,6,4,5,2,1982,6,15,7,9,36,12,15,35,5,0
57,1,79.65718321,88.91681971,77.80531758,81.03064359,82.55361184,88.88277078,82.15236745,88.87254642,2,15,2,14,5,6,1,1981,4,15,6,4,30,12,26,15,6,0
58,1,99.0368881,99.0301718,99.0325502,99.98334246,99.97749794,99.99186723,99.9927132,99.98036497,2,60,1,30,3,5,1,1960,5,38,4,1,35,12,19,15,0,0
59,1,87.09039647,87.38265275,74.05246448,92.56066173,86.01841688,86.13606108,93.14054387,89.22184158,1,20,1,3,3,2,,1990,6,7,5,2,40,20,20,0,0,0
60,2,68.72547041,66.69011554,62.93884815,70.34436303,58.56333318,77.77367433,71.23726238,63.32914348,1,11,5,6,2,3,,1987,5,11,4,4,8,16,15,35,10,0
61,2,78.54795832,77.80346762,81.55817068,81.03064359,82.30360534,83.5955792,80.06640397,81.09249372,2,15,3,8,4,6,1,1987,5,9,6,3,29,13,10,0,0,0
62,2,81.36253601,79.91209232,63.08379112,74.02983164,80.94258752,80.52038403,70.86111443,71.53512688,2,33,1,5,5,6,1,1987,6,10,3,5,13,7,7,30,0,0
63,2,77.80869155,77.80346762,77.80531758,77.76704377,77.76249789,77.77367433,77.77433233,77.76472787,2,14,3,8,5,6,1,1986,5,11,3,2,29,13,26,0,0,0
64,2,65.17162595,64.94890906,62.93884815,73.60796285,63.57893199,69.73977306,71.10422558,59.22615178,1,29,1,3,5,6,1,1991,6,6,2,4,12,5,7,15,0,0
65,2,70.24843774,64.66566879,70.44455435,70.34436303,69.73106376,69.41128758,66.66514189,66.65690932,2,15,2,8,5,6,1,1986,5,10,4,8,14,14,27,15,0,0
66,2,66.1538103,67.37868619,55.57808492,71.23984413,67.95578514,60.84267301,64.49408428,62.55391762,2,32,1,6,2,3,,1987,6,8,4,4,18,10,10,0,25,0
67,2,85.36894535,85.26192636,81.55817068,85.1897245,85.62967773,85.80757561,84.44443909,81.86771957,2,27,1,8,5,6,1,1993,6,5,4,4,16,20,21,4,0,0
68,2,75.96019988,77.04204926,70.44455435,77.76704377,72.74689909,71.95176946,73.20221184,73.66173617,1,20,2,12,4,5,2,1980,8,15,6,3,60,50,45,0,0,0
69,2,81.36253601,80.23324475,81.55817068,77.76704377,81.00281808,86.13606108,82.16439024,81.86771957,2,36,2,10,4,5,2,1984,6,11,5,2,29,15,13,0,0,0
70,2,82.41122879,73.53620438,74.05246448,88.87519312,72.91115339,74.69847916,79.86029581,81.86771957,1,20,2,1,3,5,1,1988,6,10,4,2,20,12,15,15,0,0
71,2,74.25484708,77.04204926,66.69170125,77.76704377,77.76249789,80.84886951,77.76230954,81.09249372,1,10,1,10,3,5,1,1980,4,15,4,1,20,10,15,0,0,0
72,2,88.53673336,83.92605026,85.16608081,92.56066173,87.7936955,77.77367433,88.87149998,84.76955472,2,14,2,8,5,6,1,1987,5,10,6,6,29,14,26,0,0,1
73,2,83.52045368,79.06649601,74.05246448,81.92612469,79.22753946,74.69847916,84.31140228,81.09249372,2,10,2,7,5,6,1,1984,6,10,6,4,20,8,6,30,25,0
74,2,79.83956868,88.91681971,77.80531758,88.87519312,77.76249789,86.13606108,88.88352277,77.76472787,2,35,2,6,3,5,1,1985,6,13,3,2,27,20,20,0,0,0
75,2,81.68806034,85.62934458,74.05246448,70.39610654,71.50634238,80.84886951,77.77433233,77.76472787,1,8,2,14,3,5,1,1985,5,11,6,6,20,5,16,0,0,0
76,2,93.9113835,88.36244086,85.16608081,88.87519312,88.64551306,91.62948048,93.27358067,91.77438157,2,25,1,18,3,5,1,1979,5,17,4,2,20,8,7,18,33,0
77,2,73.38853977,71.10642725,77.80531758,66.65889442,69.6708332,69.41128758,73.33524865,70.33397033,2,45,4,15,2,3,,1975,5,20,3,4,20,15,18,30,10,0
78,2,76.69946665,77.80346762,70.44455435,77.76704377,77.76249789,77.77367433,77.77433233,73.66173617,1,5,1,6,3,5,1,1991,6,7,3,2,20,15,8,40,10,0
79,2,82.4717609,82.2576915,81.55817068,85.1897245,80.83856378,77.77367433,86.7855365,81.86771957,2,36,1,3,3,5,1,1984,4,14,4,2,38,20,27,0,0,1
80,2,72.22396995,77.43604941,70.44455435,71.23984413,71.28185752,77.77367433,73.38427443,74.43696203,2,30,1,10,2,3,,1990,6,8,5,2,30,24,16,0,0,0
81,2,70.57396208,74.11066211,77.80531758,74.50344395,75.98721927,80.52038403,73.33524865,70.33397033,2,34,2,6,4,6,1,1986,6,10,6,2,36,16,25,0,0,0
82,2,77.48316721,83.23747961,81.41322771,78.66252487,76.04744983,78.30838762,75.62732028,74.43696203,2,13,2,9,5,6,1,1986,6,10,4,3,30,14,26,12,0,0
83,2,69.8346953,77.32528953,77.80531758,70.81797534,74.52217771,75.02696464,82.34645282,76.98950202,2,11,1,6,3,5,1,1987,6,10,3,2,40,35,36,10,5,0
84,2,78.37713346,81.09094276,74.19740745,74.92531274,84.01865341,83.06086591,73.15318607,78.88924889,2,12,2,11,3,2,,1988,6,8,7,9,60,50,45,10,10,0
85,2,83.93419612,81.09094276,77.80531758,85.6115933,84.01865341,83.06086591,84.31140228,85.54478058,2,20,2,8,4,6,1,1986,5,11,5,6,22,16,18,0,0,0
86,2,82.79728523,82.07073087,81.55817068,78.18891256,82.7780967,83.5955792,79.86029581,85.54478058,2,20,1,4,3,5,1,1992,4,7,4,8,14,8,12,0,0,0
87,2,74.12780654,80.80770249,77.80531758,77.76704377,84.01865341,86.13606108,75.48226069,73.66173617,2,16,3,8,4,6,1,1986,5,11,4,4,28,13,25,0,0,0
88,2,80.94879357,83.8881381,77.80531758,85.6115933,77.76249789,83.5955792,84.31140228,81.44178887,2,35,1,6,3,5,1,1984,4,10,3,2,20,8,6,20,35,0
89,2,84.32025257,84.64955647,81.55817068,78.66252487,75.92698872,83.5955792,79.93336716,77.41543272,2,15,1,3,3,5,1,1989,5,8,4,8,15,9,12,0,0,0
90,2,82.41122879,83.23747961,81.55817068,84.7161122,84.01865341,83.06086591,79.88434139,77.33879717,1,27,1,5,2,3,,1990,6,9,4,5,18,10,13,30,0,0
91,2,90.38522503,88.91681971,88.91893392,92.13879294,88.86999791,94.70467565,91.1755944,88.87254642,2,28,1,6,2,3,,1990,6,5,6,4,23,18,20,0,0,1
92,2,70.37547828,71.7949979,51.82185391,74.92531274,76.15147357,77.77367433,79.86029581,81.51842442,2,40,1,20,6,6,2,1979,6,20,4,4,18,6,10,0,0,0
93,2,81.73249413,80.23324475,74.19740745,81.45251238,79.76226137,86.67077438,82.14034466,81.01585818,2,38,1,15,5,6,1,1983,5,15,6,5,15,9,9,30,20,0
94,2,77.80869155,73.53620438,66.69170125,77.76704377,71.67059668,69.73977306,77.77433233,74.43696203,2,25,1,5,3,2,,1995,4,3,7,9,16,8,10,20,10,0
95,2,84.25972045,86.0817122,74.05246448,89.77067421,82.7780967,83.38935139,84.2993795,85.19548542,2,26,2,1,3,2,,1994,6,4,6,8,20,8,14,0,0,0
96,2,88.92278981,82.66302188,88.91893392,81.45251238,87.09471929,83.06086591,80.06640397,85.54478058,2,35,1,15,4,6,2,1985,5,15,3,4,20,15,9,30,10,0
97,2,73.92932275,70.86109914,59.33093802,66.65889442,69.89531806,77.77367433,64.56715562,74.43696203,2,30,2,8,3,5,1,1989,6,8,4,2,26,13,12,20,20,0
98,2,74.85097499,79.69372257,66.69170125,81.92612469,79.1673089,69.41128758,59.91990072,70.33397033,2,13,2,5,5,6,1,1982,6,15,6,6,22,8,9,20,25,0
99,2,64.64076682,59.99307516,40.70161223,62.97342581,69.8350875,55.55548143,60.12807194,62.97984832,2,12,2,7,5,6,1,1990,4,7,6,4,20,8,7,20,30,0
100,2,82.79728523,79.47182639,81.55817068,84.7161122,81.00281808,83.06086591,7.88434139,78.11402303,1,7,2,9,3,2,,1989,6,7,7,9,60,55,50,10,10,0
101,2,72.22396995,75.77902087,77.80531758,69.92249424,74.74666256,69.41128758,71.23726238,73.66173617,2,12,2,9,4,2,,1989,6,8,7,9,60,50,40,10,10,0
102,2,81.68806034,79.86582654,74.05246448,77.76704377,79.53777651,77.77367433,80.05438118,81.86771957,2,23,1,10,4,4,,1982,8,16,1,2,50,40,35,25,10,0
103,2,96.15751928,94.31291954,88.91893392,96.29787385,93.72134242,94.70467565,93.45564325,95.87737327,2,28,2,6,3,2,,1992,6,5,7,9,30,11,20,0,20,0
104,2,72.40635542,51.04516559,66.69170125,77.76704377,77.98698275,75.02696464,73.33524865,73.66173617,2,30,2,2,3,5,1,1990,5,7,4,8,25,15,18,0,13,0
105,2,82.41122879,83.52071989,81.55817068,78.66252487,84.01865341,86.13606108,79.93336716,76.98950202,1,20,1,4,2,3,,1991,6,7,3,5,13,8,11,0,0,0
106,2,80.62326923,72.16241612,66.83664422,67.13250673,76.27193468,66.99306336,73.51731123,63.32914348,2,32,2,6,3,5,1,1988,5,9,3,5,12,5,9,10,0,0
107,2,77.0855231,81.97445123,81.41322771,81.45251238,72.74689909,80.31415621,77.90736913,84.76955472,1,25,1,4,2,3,,1989,5,9,4,8,15,9,10,25,0,0
108,2,75.96019988,66.69011554,70.44455435,69.92249424,61.63939907,66.66457788,68.76312816,62.55391762,2,40,2,20,2,3,,1980,5,16,3,4,15,10,11,10,10,0
109,2,80.57883545,84.09517762,85.16608081,84.7161122,80.83856378,77.77367433,80.05438118,77.76472787,2,7,2,6,2,3,,1992,6,5,8,10,20,15,10,30,0,0
110,2,79.65718321,83.23747961,81.55817068,85.1897245,79.53777651,86.13606108,84.44443909,77.76472787,2,15,1,12,3,5,1,1985,4,14,5,6,16,7,8,20,10,0
111,2,75.23703143,75.41160266,77.80531758,74.50344395,71.50634238,77.77367433,77.77433233,69.98467517,2,35,2,15,2,3,,1985,4,12,3,6,20,15,11,20,10,0
112,2,79.83956868,86.52495475,77.80531758,88.87519312,73.4458753,80.84886951,93.50466903,77.76472787,2,15,1,8,3,5,1,1980,6,17,3,4,24,9,11,18,20,0
113,2,70.63449419,70.06176861,63.08379112,59.70982599,61.63939907,64.45258148,66.7981787,63.32914348,2,32,1,8,3,5,1,1988,5,8,4,4,40,20,20,0,0,0
114,2,68.54308495,63.68588068,66.83664422,66.65889442,66.49074357,72.48648275,68.94519074,62.90321278,2,34,1,12,2,3,,1986,5,13,7,9,40,20,25,0,0,0
115,2,74.12780654,78.208798,81.55817068,77.76704377,69.73106376,77.77367433,73.33524865,70.33397033,2,18,2,7,4,6,1,1988,4,8,6,4,17,15,27,12,0,0
116,2,74.48001847,77.80346762,59.18261714,77.76704377,77.76249789,77.77367433,86.53040257,77.76472787,3,6,5,15,4,5,2,1982,4,16,4,6,15,10,10,0,27,0
117,2,76.88185212,80.60066297,81.41322771,74.50344395,75.82296497,78.6368731,75.43323492,77.76472787,2,35,1,5,3,2,,1985,5,15,5,6,17,15,15,40,15,0
118,2,79.83956868,73.53620438,77.80531758,74.08157516,71.67059668,69.73977306,75.48226069,70.75990103,2,40,2,15,3,5,1,1980,6,16,2,4,19,12,7,0,0,0
119,2,99.0368881,99.0301718,99.0325502,99.98334246,99.97749794,99.99186723,95.6026553,95.87737327,2,40,1,15,3,5,1,1980,4,18,4,2,24,9,11,20,20,0
120,2,82.4717609,77.04204926,81.55817068,81.03064359,80.83856378,83.5955792,82.34645282,81.86771957,1,9,2,6,3,5,1,1992,6,7,5,4,20,14,16,10,5,0
121,2,89.10517527,88.91681971,88.91893392,92.13879294,88.86999791,88.88277078,91.16357162,88.87254642,2,6,1,5,3,5,1,1985,4,15,3,3,40,18,13,20,33,0
122,2,88.92278981,93.33313142,99.0325502,99.98334246,91.9460638,94.16996236,88.88352277,92.97553812,2,35,1,10,4,5,2,1985,6,13,4,2,40,15,17,18,25,0
123,2,76.69946665,77.80346762,77.80531758,77.76704377,77.76249789,77.77367433,77.77433233,77.76472787,2,17,2,7,5,6,1,1987,5,10,4,6,28,12,21,0,0,0
124,2,82.22884332,81.09094276,85.16608081,81.45251238,81.00281808,77.77367433,80.05438118,78.11402303,2,15,2,8,3,5,1,1989,5,7,7,9,30,25,26,10,10,0
125,2,82.79728523,85.91258485,81.55817068,85.6115933,85.85416258,83.5955792,84.31140228,81.44178887,2,28,1,10,5,6,1,1992,5,6,4,4,13,20,22,10,5,0
126,2,78.34947453,60.17619488,66.54338037,78.18891256,65.18995631,77.77367433,68.94519074,77.68809233,1,11,3,1,3,5,1,1999,6,1,4,5,16,8,10,0,0,0
127,2,77.80869155,78.37792536,77.80531758,81.03064359,77.76249789,86.13606108,77.77433233,77.76472787,1,12,1,5,4,5,2,1983,5,15,4,2,18,12,12,0,0,0
128,2,72.09692941,66.07774564,62.93884815,70.81797534,56.01922047,75.35545011,66.71416767,59.22615178,2,28,1,6,5,6,1,1991,6,6,6,8,36,16,30,0,0,0
129,2,82.41122879,67.7461044,62.93884815,63.3952946,58.78781804,71.95176946,73.20221184,70.75990103,1,15,1,18,3,5,1,1981,5,17,4,2,30,15,18,30,20,0
130,2,83.52045368,80.80770249,81.41322771,82.34799348,79.53777651,88.88277078,90.98150904,81.09249372,2,28,1,6,5,6,1,1991,6,7,5,6,32,12,20,0,0,0
131,2,73.53167864,79.06649601,70.44455435,74.08157516,72.74689909,77.77367433,73.33524865,67.43213518,2,31,1,7,6,6,2,1989,6,7,4,3,28,20,23,16,6,0
132,2,73.14562219,69.11989267,59.33093802,74.08157516,69.6708332,66.33609241,68.76312816,63.32914348,2,10,2,8,6,6,2,1989,4,10,6,2,20,15,16,15,15,0
133,2,75.83834653,85.66725674,81.55817068,77.76704377,77.76249789,78.30838762,77.72530655,78.11402303,1,20,2,4,5,6,1,1986,5,11,3,4,12,6,9,20,0,0
134,2,73.92932275,73.53620438,77.80531758,69.92249424,74.52217771,77.77367433,73.38427443,70.75990103,1,8,2,8,3,2,,1988,4,7,7,9,13,40,30,20,10,0
135,2,75.77781441,74.44314478,55.57808492,74.08157516,69.89531806,72.48648275,82.15236745,70.33397033,2,15,2,10,3,5,1,1980,6,15,4,2,18,10,13,0,0,0
136,2,83.33806822,77.80346762,77.80531758,81.45251238,80.77833322,80.84886951,82.34645282,78.53995373,2,25,1,5,4,2,,1995,6,3,5,5,16,20,25,5,6,0
137,2,82.79728523,87.65379133,81.55817068,85.6115933,83.85439911,83.06086591,84.44443909,84.76955472,2,26,1,6,3,2,,1994,6,5,4,5,25,10,20,3,1,0
138,2,66.69459328,62.96237447,59.33093802,67.08076321,60.3386118,66.66457788,73.38427443,73.66173617,2,28,3,1,3,5,1,1992,6,4,1,5,18,8,15,0,0,0
139,2,77.80869155,77.80346762,77.80531758,77.76704377,77.76249789,77.77367433,77.77433233,77.76472787,2,13,2,7,4,6,1,1987,6,10,4,3,30,13,27,10,0,0
140,2,79.65718321,74.79923276,74.05246448,77.76704377,77.76249789,72.48648275,75.67634606,70.75990103,2,32,2,8,3,5,1,1988,4,8,7,9,17,9,10,23,8,0
141,2,73.14562219,69.11989267,74.19740745,77.76704377,72.74689909,77.77367433,75.6152975,62.90321278,1,20,3,10,1,1,,1985,6,10,3,7,18,14,10,20,10,0
142,2,71.35766264,67.09544592,59.18261714,77.76704377,63.57893199,74.69847916,66.66514189,77.76472787,2,33,1,8,5,6,1,1986,4,11,5,2,25,12,20,20,5,0
143,2,72.40635542,73.96161364,59.33093802,62.97342581,68.12003944,63.91786819,51.1619421,44.86089795,2,30,1,10,3,2,,1990,6,8,3,4,28,20,21,0,0,0
144,2,81.36253601,91.30868468,77.80531758,88.87519312,85.85416258,85.80757561,91.1755944,88.87254642,2,10,1,9,4,4,,1990,5,8,6,7,20,12,10,0,0,0
145,2,69.8346953,67.54781354,74.05246448,66.65889442,60.39884236,72.48648275,73.27420009,69.98467517,2,33,1,13,4,5,2,1987,6,10,4,3,24,12,8,40,10,0
146,2,87.21743701,89.52918961,88.91893392,81.92612469,85.79393203,83.5955792,79.8723186,85.54478058,1,20,1,15,6,6,1,1985,6,12,3,2,25,20,10,35,10,0
147,2,88.92278981,81.49627314,77.80531758,85.6115933,84.07888396,77.77367433,84.50548765,81.44178887,1,21,2,8,3,5,1,1983,6,14,4,2,22,12,17,0,0,0
148,2,73.2061543,74.7613206,74.05246448,81.03064359,80.94258752,78.10215981,71.10422558,76.98950202,1,8,2,8,3,5,1,1989,6,9,4,8,20,15,10,40,10,0
149,2,77.80869155,77.80346762,81.55817068,88.87519312,80.83856378,83.5955792,77.77433233,81.09249372,2,38,2,5,5,6,1,1982,6,13,5,4,30,13,22,0,0,0
150,2,89.97148259,63.63311185,55.42976404,59.70982599,48.91650808,58.30219113,88.73846318,69.55874447,2,35,1,10,5,6,1,1985,6,12,4,1,32,24,24,11,9,0
151,2,77.80869155,77.80346762,74.05246448,77.76704377,77.76249789,77.77367433,77.77433233,74.43696203,1,25,1,5,3,5,1,1989,6,7,5,2,36,18,31,0,0,0
152,2,74.25484708,74.51599249,77.80531758,74.50344395,72.91115339,75.56167793,77.58024696,73.66173617,2,35,1,15,2,3,,1985,6,11,5,2,40,30,35,0,0,0
153,2,78.73553097,79.82791437,74.05246448,74.08157516,72.91115339,69.20505977,64.51812985,74.43696203,2,35,1,12,2,3,,1985,6,13,3,2,30,25,25,0,0,0
